Save,noxycon,ntemp,ndensity,norif,nsernum,ninjpres,ninjdur,nfuelt,nfueltemp,ninst,fileBaseName,date,readme,refs,oxycon,oxyconU,ambComp,ambCompU,MW,Ta,TaS,TaU,Ta_ai,Tbulk,dens,densS,densU,dens_ai,densbulk,ambP,Z,ZU,ambVelocity,ambVelocityU,ambVelTurbulence,ambVelTurbulenceU,vessGeom,injP,injPS,injPU,Tfuel,TfuelS,TfuelU,Tnozzle,TnozzleS,TnozzleU,roi,roiS,roiU,injDur,injDurS,injDurU,injMass,injMassS,injMassU,Cd,CdU,Ca,CaU,orifDiam,orifDiamU,nozGeom,nozGeomU,needlePos,needlePosU,injlag,fuelprops,liqlen,liqlenS,liqlenU,liftoff,liftoffS,liftoffU,igndly,igndlyS,igndlyU,igndlyL,igndlyLS,igndlyLU,pressCV,jetpen,flamelength,spreadAngle,mixing,velocity,combSpecies,liqVol,dropDia,soot,movie,AddFiles
-,mole fraction %,K,kg/m3,mm,-,MPa,ms,-,K,-,-,-,-,-,mole fraction %,mole fraction %,mole fraction %,mole fraction %,-,K,K,K,K,K,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,MPa,-,-,m/s,m/s,m/s,m/s,-,MPa,MPa,MPa,K,K,K,K,K,K,mg/ms,mg/ms,mg/ms,ms,ms,ms,mg,mg,mg,-,-,-,-,mm,mm,-,-,mm,mm,ms,-,mm,mm,mm,mm,mm,mm,ms,ms,ms,ms,ms,ms,MPa,mm,mm,degrees,F/A ratio by number,m/s,-,liquid volume fraction,mm,-,-,-
-,vol%,K,kg/m<sup>3</sup>,mm,-,MPa,ms,-,K,-,-,-,-,-,%,%,%,%,-,K,K,K,K,K,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,kg/m<sup>3</sup>,MPa,-,-,m/s,m/s,m/s,m/s,-,MPa,MPa,MPa,K,K,K,K,K,K,mg/ms,mg/ms,mg/ms,ms,ms,ms,mg,mg,mg,-,-,-,-,mm,mm,-,-,mm,mm,ms,-,mm,mm,mm,mm,mm,mm,ms,ms,ms,ms,ms,ms,MPa,mm,mm,degrees,F/A ratio by number,m/s,-,liq vol fraction,mm,-,-,-
1,0,700,3.6,0.246-a,-,140,-,CET,436,Sandia,#boadc-a.001-.005,1-Dec-20,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,695,-,-,-,-,3.6,0.73,1.002,-,-,-,-,-,-,139.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,0,700,7.3,0.246-a,-,140,-,CET,436,Sandia,#bobdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,690,-,-,-,-,30.4,1.49,1.004,-,-,-,-,-,-,139.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,0,700,14.8,0.246-a,-,140,-,CET,436,Sandia,#bocdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,690,-,-,-,-,15,3.03,1.008,-,-,-,-,-,-,139.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,0,700,30,0.246-a,-,130,-,CET,436,Sandia,#boddc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,690,-,-,-,-,30.4,6.2,1.018,-,-,-,-,-,-,140.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,0,700,58.5,0.246-a,-,140,-,CET,436,Sandia,#boedc-a.001-.001,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,693,-,-,-,-,59.1,12.34,1.039,-,-,-,-,-,-,152.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,0,850,3.6,0.246-a,-,140,-,CET,436,Sandia,#bladc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,839,-,-,-,-,3.6,0.89,1.002,-,-,-,-,-,-,139.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,0,850,7.3,0.246-a,-,140,-,CET,436,Sandia,#blbdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,834,-,-,-,-,7.4,1.81,1.005,-,-,-,-,-,-,139.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,0,850,14.8,0.246-a,-,140,-,CET,436,Sandia,#blcdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,830,-,-,-,-,15.2,3.68,1.01,-,-,-,-,-,-,139.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,0,850,30,0.246-a,-,130,-,CET,436,Sandia,#blddc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,827,-,-,-,-,30.8,7.54,1.021,-,-,-,-,-,-,141.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,0,850,58.5,0.246-a,-,140,-,CET,436,Sandia,#bledc-a.001-.002,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,824,-,-,-,-,60.3,15.05,1.044,-,-,-,-,-,-,150.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,0,1000,3.6,0.246-a,-,140,-,CET,436,Sandia,#biadc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,983,-,-,-,-,3.7,1.05,1.002,-,-,-,-,-,-,140.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,0,1000,7.3,0.246-a,-,140,-,CET,436,Sandia,#bibdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,962,-,-,-,-,31.2,2.13,1.005,-,-,-,-,-,-,141.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,0,1000,14.8,0.246-a,-,130,-,CET,436,Sandia,#bicdc-a.001-.006,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,138.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,0,1000,30,0.246-a,-,130,-,CET,436,Sandia,#biddc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,962,-,-,-,-,31.2,8.89,1.022,-,-,-,-,-,-,141.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,0,1000,58.5,0.246-a,-,120,-,CET,436,Sandia,#biedc-a.001-.002,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,954,-,-,-,-,61.3,17.75,1.047,-,-,-,-,-,-,141.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,0,1150,3.6,0.246-a,-,140,-,CET,436,Sandia,#bfadc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1126,-,-,-,-,3.7,1.2,1.002,-,-,-,-,-,-,137.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,0,1150,7.3,0.246-a,-,130,-,CET,436,Sandia,#bfbdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1113,-,-,-,-,7.5,2.45,1.005,-,-,-,-,-,-,136.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,0,1150,14.8,0.246-a,-,140,-,CET,436,Sandia,#bfcdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1103,-,-,-,-,15.4,4.99,1.011,-,-,-,-,-,-,139.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,0,1150,30,0.246-a,-,130,-,CET,436,Sandia,#bfddc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1095,-,-,-,-,31.5,10.23,1.023,-,-,-,-,-,-,142.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,0,1150,58.5,0.246-a,-,130,-,CET,436,Sandia,#bfedc-a.001-.002,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1082,-,-,-,-,62.2,20.45,1.048,-,-,-,-,-,-,154.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,0,1300,3.6,0.246-a,-,140,-,CET,436,Sandia,#bcadc-a.001-.004,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1267,-,-,-,-,3.7,1.36,1.003,-,-,-,-,-,-,138.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,0,1300,7.3,0.246-a,-,140,-,CET,436,Sandia,#bcbdc-a.001-.004,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1249,-,-,-,-,7.6,2.77,1.005,-,-,-,-,-,-,138.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,0,1300,14.8,0.246-a,-,130,-,CET,436,Sandia,#bccdc-a.001-.004,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1237,-,-,-,-,15.6,5.64,1.011,-,-,-,-,-,-,137.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,0,1300,30,0.246-a,-,130,-,CET,436,Sandia,#bcddc-a.001-.004,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,141.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,0,1300,58.5,0.246-a,-,130,-,CET,436,Sandia,#bcedc-a.001-.002,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1209,-,-,-,-,62.9,23.14,1.049,-,-,-,-,-,-,155.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,0,700,7.3,0.100-a,-,50,-,CET,436,Sandia,#bobhg-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,692,-,-,-,-,7.4,1.49,1.004,-,-,-,-,-,-,55.49,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/' target='_blank'>rate of injection</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href='/cvdata/assets/datafiles/nozgeom/nozzleDwg.PNG' target='_blank'>Drawing</a>; <a href='/cvdata/assets/datafiles/nozgeom/sacVolumeDimensions.pdf' target='_blank'>sac Vol. Dim.</a>,-,-,-,-,-,32.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,0,700,7.3,0.100-a,-,90,-,CET,436,Sandia,#bobfg-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,692,-,-,-,-,7.4,1.49,1.004,-,-,-,-,-,-,95.49,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/' target='_blank'>rate of injection</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href='/cvdata/assets/datafiles/nozgeom/nozzleDwg.PNG' target='_blank'>Drawing</a>; <a href='/cvdata/assets/datafiles/nozgeom/sacVolumeDimensions.pdf' target='_blank'>sac Vol. Dim.</a>,-,-,-,-,-,33.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,0,700,7.3,0.100-a,-,130,-,CET,436,Sandia,#bobdg-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,692,-,-,-,-,7.4,1.49,1.004,-,-,-,-,-,-,134.49,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/' target='_blank'>rate of injection</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href='/cvdata/assets/datafiles/nozgeom/nozzleDwg.PNG' target='_blank'>Drawing</a>; <a href='/cvdata/assets/datafiles/nozgeom/sacVolumeDimensions.pdf' target='_blank'>sac Vol. Dim.</a>,-,-,-,-,-,33.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,0,700,7.3,0.100-a,-,170,-,CET,436,Sandia,#bobcg-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,692,-,-,-,-,7.4,1.49,1.004,-,-,-,-,-,-,168.49,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/' target='_blank'>rate of injection</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href='/cvdata/assets/datafiles/nozgeom/nozzleDwg.PNG' target='_blank'>Drawing</a>; <a href='/cvdata/assets/datafiles/nozgeom/sacVolumeDimensions.pdf' target='_blank'>sac Vol. Dim.</a>,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,0,1000,14.8,0.100-a,-,50,-,CET,436,Sandia,#bichg-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,58.33,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/' target='_blank'>rate of injection</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href='/cvdata/assets/datafiles/nozgeom/nozzleDwg.PNG' target='_blank'>Drawing</a>; <a href='/cvdata/assets/datafiles/nozgeom/sacVolumeDimensions.pdf' target='_blank'>sac Vol. Dim.</a>,-,-,-,-,-,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,0,1000,14.8,0.100-a,-,100,-,CET,436,Sandia,#bicfg-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,101.33,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/' target='_blank'>rate of injection</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href='/cvdata/assets/datafiles/nozgeom/nozzleDwg.PNG' target='_blank'>Drawing</a>; <a href='/cvdata/assets/datafiles/nozgeom/sacVolumeDimensions.pdf' target='_blank'>sac Vol. Dim.</a>,-,-,-,-,-,13.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,0,1000,14.8,0.100-a,-,140,-,CET,436,Sandia,#bicdg-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,142.33,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/' target='_blank'>rate of injection</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href='/cvdata/assets/datafiles/nozgeom/nozzleDwg.PNG' target='_blank'>Drawing</a>; <a href='/cvdata/assets/datafiles/nozgeom/sacVolumeDimensions.pdf' target='_blank'>sac Vol. Dim.</a>,-,-,-,-,-,13.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,0,1000,14.8,0.100-a,-,170,-,CET,436,Sandia,#biccg-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,967,-,-,-,-,15.3,4.33,1.01,-,-,-,-,-,-,170.33,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/' target='_blank'>rate of injection</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href='/cvdata/assets/datafiles/nozgeom/nozzleDwg.PNG' target='_blank'>Drawing</a>; <a href='/cvdata/assets/datafiles/nozgeom/sacVolumeDimensions.pdf' target='_blank'>sac Vol. Dim.</a>,-,-,-,-,-,13.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,0,1300,30,0.100-a,-,60,-,CET,436,Sandia,#bcdhg-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,67.57,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/' target='_blank'>rate of injection</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href='/cvdata/assets/datafiles/nozgeom/nozzleDwg.PNG' target='_blank'>Drawing</a>; <a href='/cvdata/assets/datafiles/nozgeom/sacVolumeDimensions.pdf' target='_blank'>sac Vol. Dim.</a>,-,-,-,-,-,5.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,0,1300,30,0.100-a,-,90,-,CET,436,Sandia,#bcdfg-a.001-.004,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,100.57,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/' target='_blank'>rate of injection</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href='/cvdata/assets/datafiles/nozgeom/nozzleDwg.PNG' target='_blank'>Drawing</a>; <a href='/cvdata/assets/datafiles/nozgeom/sacVolumeDimensions.pdf' target='_blank'>sac Vol. Dim.</a>,-,-,-,-,-,5.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,0,1300,30,0.100-a,-,130,-,CET,436,Sandia,#bcddg-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,141.57,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/' target='_blank'>rate of injection</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href='/cvdata/assets/datafiles/nozgeom/nozzleDwg.PNG' target='_blank'>Drawing</a>; <a href='/cvdata/assets/datafiles/nozgeom/sacVolumeDimensions.pdf' target='_blank'>sac Vol. Dim.</a>,-,-,-,-,-,5.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,0,1300,30,0.100-a,-,160,-,CET,436,Sandia,#bcdcg-a.001-.004,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,1227,-,-,-,-,31.8,11.57,1.023,-,-,-,-,-,-,171.57,-,-,-,-,-,-,-,-,<a href= '/diesel-spray-combustion/sandia-cv/injector-characterization/' target='_blank'>rate of injection</a>,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<a href='/cvdata/assets/datafiles/nozgeom/nozzleDwg.PNG' target='_blank'>Drawing</a>; <a href='/cvdata/assets/datafiles/nozgeom/sacVolumeDimensions.pdf' target='_blank'>sac Vol. Dim.</a>,-,-,-,-,-,5.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,0,700,7.3,0.246-a,-,40,-,CET,436,Sandia,#bobic-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,692,-,-,-,-,7.4,1.49,1.004,-,-,-,-,-,-,43.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,0,700,7.3,0.246-a,-,60,-,CET,436,Sandia,#bobhc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,692,-,-,-,-,7.4,1.49,1.004,-,-,-,-,-,-,57.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,0,700,7.3,0.246-a,-,90,-,CET,436,Sandia,#bobfc-a.001-.003,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,692,-,-,-,-,7.4,1.49,1.004,-,-,-,-,-,-,87.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,0,700,7.3,0.246-a,-,140,-,CET,436,Sandia,#bobdc-a.001-.005,-,<a href= '/diesel-spray-combustion/experimental-diagnostics/siebers-liquid-penetration-length/' target='_blank'>LL</a>,-,-,-,-,-,-,-,-,-,-,692,-,-,-,-,7.4,1.49,1.004,-,-,-,-,-,-,139.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
